group_id,timestamp,path_choice,intersect_radius,intersect_centers_x,intersect_centers_y,obstacle_x,obstacle_y,velocity_x,velocity_y,odom_vel,main_path_length,alternative_path_length,direction,collision
1311,26538.47,1,0.2794593274593353,[-0.21427293121814728],[-0.16925932466983795],[-0.3084587807106516],[-0.23441987097818534],[0.005354584244983984],[-0.0764111100388734],-0.0946647897362709,2.8364923000335693,3.723275899887085,True,False
1312,26592.07,1,0.2280831933021545,[0.05229516699910164],[-0.037749867886304855],[0.22427049250146158],[-0.10714523682333932],[-0.07260672040239746],[-0.03082374840490688],-0.0667042732238769,2.790244579315185,2.8952698707580566,False,False
1312,26593.15,0,0.3471206724643707,[0.36866772174835205],[0.04917282983660698],[0.33636379476475],[0.08966890965640273],[0.030557445538824016],[0.011587669602321724],-0.070256806910038,2.764059066772461,119.19955444335938,False,False
1312,26594.35,1,0.4508997797966003,[0.39818498492240906],[0.15187832713127136],[0.42519284083325615],[0.13720926100697106],[-0.0009723910368618432],[-0.008181011259794087],0.1096399128437042,2.6645331382751465,3.516639232635498,False,True
1313,26662.96,1,0.210646167397499,[-0.26553571224212646],[0.27393028140068054],[-0.41907651115184485],[0.2775191206341888],[0.12698030314107392],[0.0482087466736245],-0.0982895046472549,3.322072505950928,4.1886749267578125,False,False
1313,26665.09,1,0.3763721287250519,[-0.04582197219133377],[0.27963364124298096],[-0.08575692519108857],[0.2818824437400663],[0.015057818195387108],[-0.004948846611560162],-0.1132268160581588,3.177784204483032,4.533133029937744,False,False
1313,26667.6,1,0.3021733164787292,[-0.017612066119909286],[0.30754488706588745],[0.006878072985387895],[0.30889746598412215],[-0.015403021194968166],[0.008807488359799644],-0.1044324338436126,2.900721311569214,4.656418323516846,False,False
1314,26726.26,0,0.1972128450870514,[0.13968947529792786],[-0.005824898835271597],[0.20572270602890042],[0.09725272416910569],[-0.01644385717102517],[-0.03850879029192481],-0.0969415232539177,2.2995731830596924,2.6099307537078857,True,False
1314,26732.09,0,0.2231569141149521,[0.1044064536690712],[-0.06530050188302994],[0.21195164812486134],[-0.18495897292897312],[0.005994238494518221],[0.007329875161751112],-0.0752728208899498,2.104878664016724,2.493990898132324,True,False
1314,26736.01,1,0.3107612729072571,[-0.06559117138385773],[0.05922336503863335],[0.3888995014269198],[0.2799548658436386],[-0.0094035267440458],[0.029000878552004443],-0.110582523047924,2.326906681060791,2.2944564819335938,True,False
1315,26806.63,0,1.029430866241455,[0.1288728266954422],[0.2811431586742401],[0.0747628537797036],[0.2605561965685131],[-0.03005013416920759],[0.0012685246265084307],0.1224395856261253,2.9699161052703857,4.045172691345215,False,False
1315,26808.52,0,0.4004756212234497,[-0.19224317371845245],[0.21787476539611816],[-0.20545535514553492],[0.2450738493329525],[-0.09616098366607034],[0.003290664689672221],0.1240681409835815,2.988736629486084,5.552757740020752,False,False
1315,26811.71,0,0.3500224351882934,[-0.09940017759799957],[0.47998836636543274],[-0.14189123309240692],[0.4960632605020858],[-0.038283081162308615],[0.03677374481575714],0.1312832087278366,2.0449748039245605,2.0449748039245605,False,False
